"연번","서ㆍ센터ID","서ㆍ센터명","유형구분명","도서지역포함여부","상위서ㆍ센터ID","일련번호","X좌표","Y좌표"
"1","1116000","관악소방서","소방서"," ","1100000","43","195785.50152000","541613.17988900"
"2","1114103","영동119안전센터","안전센터/구조대"," ","1114000","44","203265.81145800","546962.39978600"
"3","1116401","관악119안전센터","안전센터/구조대"," ","1116000","45","195784.87841200","541621.21032600"
"4","1119106","시흥119안전센터","안전센터/구조대"," ","1119000","46","191196.72114800","538802.57141300"
"5","1115102","방배119안전센터","안전센터/구조대"," ","1115000","47","198957.09600000","541787.00100000"
"6","1115105","잠원119안전센터","안전센터/구조대"," ","1115000","48","201028.56400000","544400.94500000"
"7","1116402","구조대","안전센터/구조대"," ","1116000","49","195787.34536000","541603.89000600"
"8","1116104","난곡119안전센터","안전센터/구조대"," ","1116000","50","192577.70921400","541810.02130600"
"9","1119105","독산119안전센터","안전센터/구조대"," ","1119000","51","190995.08336300","540948.68616300"
"10","1103106","신영119안전센터","안전센터/구조대"," ","1103000","52","196541.31728700","556245.85926700"
"11","1115000","서초소방서","소방서"," ","1100000","53","199288.37585400","544328.95152000"
"12","1108102","여의도119안전센터","안전센터/구조대"," ","1108000","54","193636.43027000","546419.55176000"
"13","1106105","서빙고119안전센터","안전센터/구조대"," ","1106000","55","199560.74741400","546816.07316300"
"14","1115401","반포119안전센터","안전센터/구조대"," ","1115000","56","199278.08471400","544329.03800000"
"15","1115402","구조대","안전센터/구조대"," ","1115000","57","199298.79123600","544328.23976600"
"16","1119000","구로소방서","소방서"," ","1100000","58","188078.71896000","544268.36024700"
"17","1119102","수궁119안전센터","안전센터/구조대"," ","1119000","59","184928.50111800","544104.90571100"
"18","1119401","고일119안전센터","안전센터/구조대"," ","1119000","60","188088.24025800","544276.08335800"
"19","1119103","고척119안전센터","안전센터/구조대"," ","1119000","61","187170.29949700","545059.57293600"
"20","1119107","신도림119안전센터","안전센터/구조대"," ","1119000","62","189498.03321700","545329.64159500"
"21","1108104","대림119안전센터","안전센터/구조대"," ","1108000","63","191515.08463500","544212.25613000"
"22","1119104","구로119안전센터","안전센터/구조대"," ","1119000","64","189614.79324700","543865.66491100"
"23","1119402","구조대","안전센터/구조대"," ","1119000","65","188070.36040200","544260.24510000"
"24","1112108","진관119안전센터","안전센터/구조대"," ","1112000","66","192920.22602400","558822.39615300"
"25","1121103","목동119안전센터","안전센터/구조대"," ","1121000","67","189711.09719500","549259.30622100"
"26","1121102","신정119안전센터","안전센터/구조대"," ","1121000","68","186823.71523400","546934.94919400"
"27","1115106","우면119안전센터","안전센터/구조대"," ","1115000","69","202109.10443300","542354.50617600"
"28","1115103","양재119안전센터","안전센터/구조대"," ","1115000","70","203613.47601300","541114.32362400"
"29","1114104","역삼119안전센터","안전센터/구조대"," ","1114000","71","203753.15647000","544189.66773200"
"30","1114106","개포119안전센터","안전센터/구조대"," ","1114000","72","204412.66247000","541694.95687500"
"31","1114105","수서119안전센터","안전센터/구조대"," ","1114000","73","208212.23158700","542833.34386500"
"32","1120104","잠실119안전센터","안전센터/구조대"," ","1120000","74","208302.37400000","545320.12900000"
"33","1113000","마포소방서","소방서"," ","1100000","75","194095.41467000","549987.08053300"
"34","1113102","신수119안전센터","안전센터/구조대"," ","1113000","76","194096.03945600","549994.81123600"
"35","1123103","홍은119안전센터","안전센터/구조대"," ","1123000","77","195326.17400000","555461.45600000"
"36","1113201","구조대","안전센터/구조대"," ","1113000","78","194095.11878000","549980.75235700"
"37","1113104","서교119안전센터","안전센터/구조대"," ","1113000","79","192535.00667600","550091.36853200"
"38","1112106","역촌119안전센터","안전센터/구조대"," ","1112000","80","192111.06886400","556161.09698100"
"39","1123102","북가좌119안전센터","안전센터/구조대"," ","1123000","81","192315.27903500","553702.71318200"
"40","1112107","수색119안전센터","안전센터/구조대"," ","1112000","82","190277.69736700","553969.30815900"
"41","1103104","신교119안전센터","안전센터/구조대"," ","1103000","83","197355.38581100","553858.94322100"
"42","1120401","마천119안전센터","안전센터/구조대"," ","1120000","116","212603.37213300","544480.37863200"
"43","1120402","구조대","안전센터/구조대"," ","1120000","117","212614.45919200","544505.43192200"
"44","1122000","중랑소방서","소방서"," ","1100000","118","208374.71028400","557311.39739200"
"45","1122101","신내119안전센터","안전센터/구조대"," ","1122000","119","208386.84471700","557306.93386500"
"46","1122201","구조대","안전센터/구조대"," ","1122000","120","208363.81201400","557316.99174400"
"47","1118105","길동119안전센터","안전센터/구조대"," ","1118000","121","212759.62021700","549059.38613000"
"48","1107104","용두119안전센터","안전센터/구조대"," ","1107000","122","202803.92410000","553146.12241900"
"49","1103109","숭인119안전센터","안전센터/구조대"," ","1103000","123","201923.62543400","553134.91275400"
"50","1107000","동대문소방서","소방서"," ","1100000","124","205889.34029900","551610.21589300"
"51","1106103","이태원119안전센터","안전센터/구조대"," ","1106000","84","199630.19000000","548320.59900000"
"52","1103201","구조대","안전센터/구조대"," ","1103000","85","198137.48927900","552586.33803500"
"53","1123104","북아현119안전센터","안전센터/구조대"," ","1123000","86","196090.62749200","551239.35096500"
"54","1100106","회현119안전센터","안전센터/구조대"," ","1100000","87","198527.94626700","550963.42401900"
"55","1104103","충무로119안전센터","안전센터/구조대"," ","1104000","88","199377.79568200","551402.01006800"
"56","1106104","후암119안전센터","안전센터/구조대"," ","1106000","89","198043.85383200","549932.89880400"
"57","1126306","여의도수난구조대","안전센터/구조대"," ","1108000","90","192982.68531800","548340.96863300"
